chromosome	start	end
2R	5495971	5495971
2R	6523062	6523062
2R	6523073	6523073
2R	6532819	6532819
2R	7159294	7159294
2R	7424043	7424043
2R	7490241	7490241
2R	7773094	7773094
2R	7984277	7984277
2R	8011811	8011811
2R	8011821	8011821
2R	11743506	11743506
2R	12151709	12151709
2R	12152129	12152129
2R	12152784	12152784
2R	12153405	12153405
2R	17637760	17637760
2R	17641208	17641208
2R	17641284	17641284
2R	17641285	17641285
2R	17713593	17713593
2R	17713597	17713597
2R	17750980	17750980
2R	17751046	17751046
2R	17751171	17751171
2R	17754470	17754470
2R	17754527	17754527
2R	17756670	17756670
2R	17757273	17757273
2R	17758268	17758268
2R	17765171	17765171
2R	17770191	17770191
2R	17770196	17770196
2R	17770197	17770197
2R	17770198	17770198
2R	17770231	17770231
2R	17770337	17770337
2R	17770362	17770362
2R	17836907	17836907
2R	17868387	17868387
2R	17868992	17868992
2R	17869946	17869946
2R	17883028	17883028
2R	17883030	17883030
2R	17895369	17895369
2R	19193876	19193876
2R	19372718	19372718
2R	19403236	19403236
2R	19502938	19502938
2R	19502953	19502953
2R	19503424	19503424
2R	19562618	19562618
2R	20186443	20186443
2R	20338583	20338583
2R	20338589	20338589
2R	20505163	20505163
2R	20565950	20565950
2R	20681925	20681925
2R	20682122	20682122
2R	22168011	22168011
2R	22168115	22168115
2R	22476380	22476380
2R	22488876	22488876
2R	22489793	22489793
2R	22503525	22503525
2R	22503536	22503536
2R	22503920	22503920
2R	22504114	22504114
2R	22504144	22504144
2R	22508137	22508137
2R	22508140	22508140
2R	22508223	22508223
2R	22511852	22511852
2R	22539516	22539516
2R	22540136	22540136
2R	22540137	22540137
2R	22540329	22540329
2R	22540339	22540339
2R	22540340	22540340
2R	22550111	22550111
2R	22550907	22550907
2R	22575514	22575514
2R	22587323	22587323
2R	22587411	22587411
2R	22597534	22597534
2R	22685803	22685803
2R	22687138	22687138
2R	22687717	22687717
2R	22707153	22707153
2R	22713163	22713163
2R	22714393	22714393
2R	22714837	22714837
2R	22717906	22717906
2R	22719564	22719564
2R	22723025	22723025
2R	22735221	22735221
2R	22735322	22735322
2R	22735344	22735344
2R	22745224	22745224
2R	22747068	22747068
2R	22747821	22747821
2R	22747894	22747894
2R	22763773	22763773
2R	22765639	22765639
2R	22765853	22765853
2R	22769167	22769167
2R	22769195	22769195
2R	22769398	22769398
2R	22769551	22769551
2R	22769852	22769852
2R	22771086	22771086
2R	22771788	22771788
2R	22771890	22771890
2R	22772002	22772002
2R	22772034	22772034
2R	22772263	22772263
2R	22776456	22776456
2R	22776490	22776490
2R	22776526	22776526
2R	22776816	22776816
2R	22780251	22780251
2R	22782526	22782526
2R	22782536	22782536
2R	22782547	22782547
2R	22782673	22782673
2R	22782729	22782729
2R	22784972	22784972
2R	22785019	22785019
2R	22824997	22824997
2R	22954151	22954151
2R	22954152	22954152
2R	22954157	22954157
2R	22954215	22954215
2R	22994735	22994735
2R	23106941	23106941
2R	23277957	23277957
2R	23277967	23277967
2R	23277968	23277968
2R	23278066	23278066
2R	23411522	23411522
2R	23560220	23560220
2R	24077404	24077404
3L	1523385	1523385
3L	2433474	2433474
3L	2433500	2433500
3L	3580207	3580207
3L	7488967	7488967
3L	7635370	7635370
3L	7755195	7755195
3L	11101815	11101815
3L	11124430	11124430
3L	12902817	12902817
3L	14736157	14736157
3L	15040312	15040312
3L	15203517	15203517
3L	15208096	15208096
3L	15482498	15482498
3L	15587851	15587851
3L	15640860	15640860
3L	17341650	17341650
3L	17342005	17342005
3L	17366586	17366586
3L	17399714	17399714
3L	17400018	17400018
3L	17400044	17400044
3L	17401648	17401648
3L	17508649	17508649
3L	17658619	17658619
3L	17802916	17802916
3L	17900383	17900383
3L	17985770	17985770
3L	18074955	18074955
3L	18080185	18080185
3L	18080901	18080901
3L	18080905	18080905
3L	18080910	18080910
3L	18080911	18080911
3L	18081031	18081031
3L	18082793	18082793
3L	18141153	18141153
3L	18186228	18186228
3L	18188304	18188304
3L	18188331	18188331
3L	18624613	18624613
3L	18975606	18975606
3L	19069763	19069763
3L	19548261	19548261
3L	19549459	19549459
3L	19550044	19550044
3L	20105273	20105273
3L	20271179	20271179
3L	21031492	21031492
3L	21650664	21650664
3L	21650819	21650819
3R	9871600	9871600
3R	9871614	9871614
3R	10283619	10283619
3R	11815116	11815116
3R	12003966	12003966
3R	12593226	12593226
3R	13171670	13171670
3R	13192299	13192299
3R	13236474	13236474
3R	13236658	13236658
3R	13241600	13241600
3R	13257371	13257371
3R	13265647	13265647
3R	13321681	13321681
3R	13322579	13322579
3R	13332666	13332666
3R	15870408	15870408
3R	17389958	17389958
3R	17390456	17390456
3R	17392696	17392696
3R	17424798	17424798
3R	17641706	17641706
3R	18603091	18603091
3R	18847494	18847494
3R	18853241	18853241
3R	18857030	18857030
3R	18858858	18858858
3R	18863676	18863676
3R	18865903	18865903
3R	18870263	18870263
3R	18871766	18871766
3R	18873290	18873290
3R	18873387	18873387
3R	18873400	18873400
3R	18873543	18873543
3R	18873766	18873766
3R	18873858	18873858
3R	18874159	18874159
3R	18874597	18874597
3R	18874838	18874838
3R	18905911	18905911
3R	18905944	18905944
3R	18910590	18910590
3R	18920795	18920795
3R	18938313	18938313
3R	18938511	18938511
3R	18994243	18994243
3R	19002614	19002614
3R	19036653	19036653
3R	19036660	19036660
3R	19036998	19036998
3R	19039466	19039466
3R	19047840	19047840
3R	19047933	19047933
3R	19047934	19047934
3R	19047945	19047945
3R	19047953	19047953
3R	19076320	19076320
3R	20038351	20038351
3R	21074213	21074213
3R	21138807	21138807
3R	21155947	21155947
3R	21390257	21390257
3R	21392110	21392110
3R	21392144	21392144
3R	21449297	21449297
3R	23955904	23955904
3R	23956630	23956630
3R	23956738	23956738
3R	23956783	23956783
3R	23956811	23956811
3R	25535480	25535480
3R	25851238	25851238
3R	25887051	25887051
3R	25973106	25973106
3R	26198199	26198199
3R	26243544	26243544
3R	26247663	26247663
3R	26272758	26272758
3R	26272856	26272856
3R	26272948	26272948
3R	26273107	26273107
3R	27650231	27650231
3R	27650232	27650232
3R	27684265	27684265
3R	27684277	27684277
3R	27708362	27708362
3R	27802225	27802225
3R	27926347	27926347
3R	27940821	27940821
3R	27942075	27942075
3R	27944851	27944851
3R	27965939	27965939
3R	28064099	28064099
3R	28315173	28315173
3R	28327706	28327706
3R	28330249	28330249
3R	28331871	28331871
3R	28335568	28335568
3R	28359946	28359946
3R	28365678	28365678
3R	28373392	28373392
3R	28379956	28379956
3R	28398376	28398376
3R	28421159	28421159
3R	28421195	28421195
3R	28421205	28421205
3R	28429366	28429366
3R	28438010	28438010
3R	28443024	28443024
3R	28443037	28443037
3R	28443075	28443075
3R	28443079	28443079
3R	28443080	28443080
3R	28443111	28443111
3R	28443122	28443122
3R	28443126	28443126
3R	28443135	28443135
3R	28443138	28443138
3R	28443166	28443166
3R	28478692	28478692
3R	28478703	28478703
3R	28478919	28478919
3R	28479060	28479060
3R	28479073	28479073
3R	28479084	28479084
3R	28479122	28479122
3R	28519788	28519788
3R	28522289	28522289
3R	28563189	28563189
3R	28575594	28575594
3R	28575598	28575598
3R	28595170	28595170
3R	28595175	28595175
3R	28595558	28595558
3R	28597919	28597919
3R	28598038	28598038
3R	28605805	28605805
3R	28605881	28605881
3R	28605895	28605895
3R	28605896	28605896
3R	28609942	28609942
3R	28617921	28617921
3R	28618112	28618112
3R	28618213	28618213
3R	28628772	28628772
3R	28633868	28633868
3R	28633892	28633892
3R	28634379	28634379
3R	28634380	28634380
3R	28642673	28642673
3R	28642678	28642678
3R	28644587	28644587
3R	28645238	28645238
3R	28646029	28646029
3R	28646031	28646031
3R	28646246	28646246
3R	28646329	28646329
3R	28646634	28646634
3R	28647247	28647247
3R	28647299	28647299
3R	28647729	28647729
3R	28649349	28649349
3R	28649778	28649778
3R	28649779	28649779
3R	28650013	28650013
3R	28650323	28650323
3R	28650349	28650349
3R	28651236	28651236
3R	28651311	28651311
3R	28651591	28651591
3R	28652496	28652496
3R	28653186	28653186
3R	28653328	28653328
3R	28653329	28653329
3R	28653392	28653392
3R	28654671	28654671
3R	28654717	28654717
3R	28655134	28655134
3R	28655434	28655434
3R	28655435	28655435
3R	28656521	28656521
3R	28656748	28656748
3R	28656761	28656761
3R	28666207	28666207
3R	28666288	28666288
3R	28666521	28666521
3R	28667028	28667028
3R	28668948	28668948
3R	28670343	28670343
3R	28679989	28679989
3R	28685072	28685072
3R	28719165	28719165
3R	28719263	28719263
3R	28719264	28719264
3R	28755724	28755724
3R	28755755	28755755
3R	28755766	28755766
3R	28777582	28777582
3R	28784826	28784826
3R	28803397	28803397
3R	28807140	28807140
3R	28830115	28830115
3R	28845724	28845724
3R	28888916	28888916
3R	28890661	28890661
3R	28898997	28898997
3R	28899656	28899656
3R	28906617	28906617
3R	28906728	28906728
3R	28906740	28906740
3R	28906764	28906764
3R	28907179	28907179
3R	28921069	28921069
3R	28950143	28950143
3R	28957715	28957715
3R	28957769	28957769
3R	28957772	28957772
3R	29193015	29193015
3R	29204361	29204361
3R	29204582	29204582
X	3005986	3005986
X	4397318	4397318
X	4503635	4503635
X	4503639	4503639
X	4565780	4565780
X	4572039	4572039
X	4577586	4577586
X	4586478	4586478
X	4587007	4587007
X	4639970	4639970
X	4687875	4687875
X	4689073	4689073
X	4699239	4699239
X	4706124	4706124
X	4712427	4712427
X	4729702	4729702
X	4741213	4741213
X	4742530	4742530
X	4747619	4747619
X	4758095	4758095
X	4766375	4766375
X	4771594	4771594
X	4813341	4813341
X	11472824	11472824
X	11542549	11542549
X	11609502	11609502
X	11626872	11626872
X	11900368	11900368
X	16814515	16814515
X	16929132	16929132
X	17755430	17755430
X	17755435	17755435
X	17755441	17755441
X	17767673	17767673
X	17767712	17767712
X	17767764	17767764
X	17767835	17767835
X	17767982	17767982
X	17769837	17769837
X	17769839	17769839
X	17770907	17770907
X	17964464	17964464
X	17969720	17969720
X	18360140	18360140
X	18377241	18377241
X	18377263	18377263
X	18381557	18381557
X	18386950	18386950
X	18388112	18388112
X	18525835	18525835
X	18525836	18525836
X	19608273	19608273
X	19888909	19888909
